id,allslopes1_3,allslopes1_4,conds
1,96.2674999999999,121.242000000000,1
2,66.3449999999998,95.7790000000000,1
3,313.930000000000,240.187000000000,1
4,138.165000000000,165.674500000000,1
5,145.425000000000,144.980000000000,1
6,189.007500000000,253.558500000000,1
7,258.115000000000,294.034000000000,1
8,120.477500000000,139.463500000000,1
9,201.182500000000,278.005500000000,1
10,265.437500000000,268.316000000000,1
11,282.345000000000,394.481500000000,1
12,87.0850000000000,75.9335000000000,1
13,328.990000000000,257.375500000000,1
14,110.862500000000,111.891000000000,1
15,96.4274999999999,96.5920000000000,1
16,169.582500000000,179.169500000000,1
17,223.772500000000,230.066500000000,1
18,125.580000000000,171.550000000000,1
19,61.7599999999998,87.5990000000001,1
20,81.1024999999999,134.617000000000,1
21,119.345000000000,129.077000000000,1
22,121.640000000000,209.705500000000,1
23,127.790000000000,258.127000000000,1
24,67.3049999999998,114.877000000000,1
1,108.012500000000,121.922500000000,2
2,48.7699999999999,103.971000000000,2
3,340.002500000000,255.759500000000,2
4,125.817500000000,192.595000000000,2
5,198.747500000000,148.804500000000,2
6,215.542500000000,257.468500000000,2
7,162.387500000000,237.785500000000,2
8,170.315000000000,148.888000000000,2
9,164.545000000000,230.876500000000,2
10,218.340000000000,249.614500000000,2
11,270.152500000000,372.612500000000,2
12,83.0949999999998,97.7145000000000,2
13,477.215000000000,290.258000000000,2
14,123.650000000000,112.370000000000,2
15,61.7549999999998,97.4400000000000,2
16,164.312500000000,183.665500000000,2
17,174.260000000000,216.078000000000,2
18,103.670000000000,152.339000000000,2
19,39.7824999999998,60.3324999999999,2
20,98.8349999999999,145.908000000000,2
21,134.285000000000,131.311500000000,2
22,176.047500000000,188.764000000000,2
23,181.607500000000,249.247500000000,2
24,205.530000000000,192.878000000000,2
