StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,f_agreement,f_wrong,h_agreement,h_wrong,neg_conseq,unfair,comments,attn_check,SC0,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,participantId,assignmentId,householdIncomeScore,participantID,politicalLiberalness,politicalViews,condition
30/06/2020 16:48,30/06/2020 16:51,0,100,186,1,30/06/2020 16:51,R_30eopRVoejWbX0J,,,,,anonymous,EN-GB,5,7,5,7,5,6,,4,24,30,female,4,,,,50000,,,,,9663cba4,3,1815c2c6,,,oneoff
30/06/2020 16:51,30/06/2020 16:52,0,100,45,1,30/06/2020 16:52,R_3QLVN8Aj8egJIBE,,,,,anonymous,EN-GB,4,3,6,2,7,4,na,1,15,33,female,5,,,,17500,,,,,ed6df34e,1,5926f71a,,,precedent
30/06/2020 16:52,30/06/2020 16:53,0,100,90,1,30/06/2020 16:53,R_svVq0ttCVfwNce5,,,,,anonymous,EN-GB,6,2,6,2,2,5,"I think they are unfair because both people will find themselves in similar circumstances so it may seem unfair to pick one of them based on an unrelated factor. However, I think it's still the right thing to do.",4,16,32,female,5,,,,100000,,,,,4777f059,5,42e45792,,,rule
30/06/2020 16:55,30/06/2020 16:57,0,100,137,1,30/06/2020 16:57,R_b7XLkCRHICAzqBH,,,,,anonymous,EN-GB,4,5,4,5,5,7,To determine someone's value when deciding to save their life feels very unfair and doesn't neccessarily encompass the other good in their life besides their vocation.,4,18,42,male,4,,,,32500,,,,,278c78a6,2,15f0efbc,,,oneoff
30/06/2020 17:03,30/06/2020 17:04,0,100,58,1,30/06/2020 17:04,R_WkafrPCzXM6WT7j,,,,,anonymous,EN-GB,7,1,7,1,1,1,,4,16,46,male,5,,,,72500,,,,,d0d8c323,4,175639ed,,,oneoff
30/06/2020 17:03,30/06/2020 17:07,0,100,226,1,30/06/2020 17:07,R_2xzAGwUYMwA3mL2,,,,,anonymous,EN-GB,3,7,3,7,5,7,I think they are unfair because the unemployed person has as much right to live as the doctor.,4,20,38,female,2,,,,50000,,,,,1b0a62de,3,6d6398dd,,,rule
30/06/2020 17:05,30/06/2020 17:08,0,100,185,1,30/06/2020 17:08,R_1NFaic5y05FpMTC,,,,,anonymous,EN-GB,3,5,3,6,5,6,not a lot of people would like it because it is discrimination and no one individual's life is more important than the other.,4,17,24,female,2,,,,72500,,,,,72fab34e,4,dbc75b9c,,,precedent
30/06/2020 17:17,30/06/2020 17:18,0,100,29,1,30/06/2020 17:18,R_1gGizyKK4KHBbht,,,,,anonymous,EN-GB,5,3,5,3,3,3,n.a,4,16,23,female,5,,,,32500,,,,,99158470,2,864fb6bf,,,oneoff
30/06/2020 17:17,30/06/2020 17:19,0,100,125,1,30/06/2020 17:19,R_3Hht5muLiDiPtzJ,,,,,anonymous,EN-GB,1,7,1,7,7,7,BECAUSE IT LEADS TO TOO MUCH JUDGEMENT AND LETS PEOPLE INSTEAD OF CHANCE CONTROL WHO LIVES OR DIES BASED UPON SOCIETAL STANDARDS OF JUDGEMENT AND SOCIETY IS ALWAYS CHANGING. ,4,16,34,female,6,,,,100000,,,,,e705b239,5,5d571401,,,rule
30/06/2020 17:18,30/06/2020 17:20,0,100,80,1,30/06/2020 17:20,R_u7CsucTGpFJeX8l,,,,,anonymous,EN-GB,1,7,1,7,7,7,It could lead to a society where only people in certain jobs would survive.,4,16,40,male,2,,,,50000,,,,,950e9ddd,3,a8ae39fd,,,oneoff
